batch size: 128, lr: 0.1, hidden dim: 16, depth: 2, params: 177738, dropout: 0, loss: 0.8447734909721568, error %: 0.2862, time: 1182.2335710525513, epochs: 50
batch size: 128, lr: 0.1, hidden dim: 16, depth: 3, params: 275178, dropout: 0, loss: 0.8749329741997055, error %: 0.3014, time: 1339.9751842021942, epochs: 50
batch size: 128, lr: 0.1, hidden dim: 16, depth: 5, params: 470058, dropout: 0, loss: 0.7923150952858261, error %: 0.2614, time: 1488.1970648765564, epochs: 50
batch size: 128, lr: 0.1, hidden dim: 16, depth: 7, params: 664938, dropout: 0, loss: 0.7254665735401685, error %: 0.2438, time: 1625.3516657352448, epochs: 50
batch size: 128, lr: 0.1, hidden dim: 16, depth: 9, params: 859818, dropout: 0, loss: 0.8470811066748221, error %: 0.284, time: 1767.061445236206, epochs: 50
batch size: 128, lr: 0.05, hidden dim: 16, depth: 2, params: 177738, dropout: 0, loss: 0.6949301320540754, error %: 0.244, time: 1257.772320985794, epochs: 50
batch size: 128, lr: 0.05, hidden dim: 16, depth: 3, params: 275178, dropout: 0, loss: 0.6583541326130493, error %: 0.2235, time: 1344.7031004428864, epochs: 50
batch size: 128, lr: 0.05, hidden dim: 16, depth: 5, params: 470058, dropout: 0, loss: 0.6623354497589643, error %: 0.2289, time: 1530.280293226242, epochs: 50
batch size: 128, lr: 0.05, hidden dim: 16, depth: 7, params: 664938, dropout: 0, loss: 0.7398674389984035, error %: 0.2531, time: 1568.9672038555145, epochs: 50
batch size: 128, lr: 0.05, hidden dim: 16, depth: 9, params: 859818, dropout: 0, loss: 0.715274688941014, error %: 0.2372, time: 1629.7414400577545, epochs: 50
batch size: 128, lr: 0.01, hidden dim: 16, depth: 2, params: 177738, dropout: 0, loss: 0.6719394563874111, error %: 0.2319, time: 1184.803634405136, epochs: 50
batch size: 128, lr: 0.01, hidden dim: 16, depth: 3, params: 275178, dropout: 0, loss: 0.6632931937899771, error %: 0.2247, time: 1227.5860216617584, epochs: 50
batch size: 128, lr: 0.01, hidden dim: 16, depth: 5, params: 470058, dropout: 0, loss: 0.6377206142944626, error %: 0.2159, time: 1354.02401304245, epochs: 50
batch size: 128, lr: 0.01, hidden dim: 16, depth: 7, params: 664938, dropout: 0, loss: 0.6466187502764449, error %: 0.2138, time: 1485.4415864944458, epochs: 50
batch size: 128, lr: 0.01, hidden dim: 16, depth: 9, params: 859818, dropout: 0, loss: 0.6275537942029252, error %: 0.2104, time: 1637.19411444664, epochs: 50
batch size: 128, lr: 0.005, hidden dim: 16, depth: 2, params: 177738, dropout: 0, loss: 0.6804914255685444, error %: 0.2377, time: 1180.8900578022003, epochs: 50
batch size: 128, lr: 0.005, hidden dim: 16, depth: 3, params: 275178, dropout: 0, loss: 0.6762405456621435, error %: 0.229, time: 1214.861631155014, epochs: 50
batch size: 128, lr: 0.005, hidden dim: 16, depth: 5, params: 470058, dropout: 0, loss: 0.6346180518216724, error %: 0.215, time: 1389.4003236293793, epochs: 50
batch size: 128, lr: 0.005, hidden dim: 16, depth: 7, params: 664938, dropout: 0, loss: 0.6329997027222114, error %: 0.2155, time: 1493.9733917713165, epochs: 50
batch size: 128, lr: 0.005, hidden dim: 16, depth: 9, params: 859818, dropout: 0, loss: 0.6389642376688462, error %: 0.2171, time: 1620.6454186439514, epochs: 50
batch size: 128, lr: 0.001, hidden dim: 16, depth: 2, params: 177738, dropout: 0, loss: 0.7601942827429953, error %: 0.2613, time: 1167.3800024986267, epochs: 50
