batch size: 128, lr: 0.001, hidden dim: 16, depth: 3, params: 275178, dropout: 0, loss: 0.7423046849950959, error %: 0.2561, time: 1205.8745164871216, epochs: 50
batch size: 128, lr: 0.003, hidden dim: 16, depth: 3, params: 275178, dropout: 0, loss: 0.6535277845738809, error %: 0.2233, time: 1204.1558203697205, epochs: 50
batch size: 128, lr: 0.005, hidden dim: 16, depth: 2, params: 177738, dropout: 0, loss: 0.6516283418558821, error %: 0.2192, time: 1173.7843205928802, epochs: 50
batch size: 128, lr: 0.005, hidden dim: 16, depth: 3, params: 275178, dropout: 0, loss: 0.6320082092586952, error %: 0.2173, time: 1203.199536561966, epochs: 50
batch size: 128, lr: 0.005, hidden dim: 16, depth: 5, params: 470058, dropout: 0, loss: 0.6367429011984717, error %: 0.2218, time: 1378.446949481964, epochs: 50
batch size: 128, lr: 0.005, hidden dim: 16, depth: 7, params: 664938, dropout: 0, loss: 0.6158568696885169, error %: 0.2135, time: 1442.3857049942017, epochs: 50
batch size: 128, lr: 0.007, hidden dim: 16, depth: 2, params: 177738, dropout: 0, loss: 0.6583263055433201, error %: 0.2204, time: 1171.3250744342804, epochs: 50
batch size: 128, lr: 0.007, hidden dim: 16, depth: 3, params: 275178, dropout: 0, loss: 0.6330788192115252, error %: 0.2162, time: 1197.7390496730804, epochs: 50
batch size: 128, lr: 0.007, hidden dim: 16, depth: 5, params: 470058, dropout: 0, loss: 0.6247344741338416, error %: 0.2127, time: 1371.4401905536652, epochs: 50
batch size: 128, lr: 0.007, hidden dim: 16, depth: 7, params: 664938, dropout: 0, loss: 0.5952427341968198, error %: 0.2061, time: 1504.1650564670563, epochs: 50
batch size: 128, lr: 0.007, hidden dim: 16, depth: 9, params: 859818, dropout: 0, loss: 0.6103267994108079, error %: 0.2065, time: 1645.2285265922546, epochs: 50
batch size: 128, lr: 0.01, hidden dim: 16, depth: 2, params: 177738, dropout: 0, loss: 0.6365046742596204, error %: 0.2182, time: 1129.5998311042786, epochs: 50
batch size: 128, lr: 0.01, hidden dim: 16, depth: 3, params: 275178, dropout: 0, loss: 0.6263307785686059, error %: 0.219, time: 1188.1071245670319, epochs: 50
batch size: 128, lr: 0.01, hidden dim: 16, depth: 5, params: 470058, dropout: 0, loss: 0.6375675514529023, error %: 0.2165, time: 1392.0736219882965, epochs: 50
batch size: 128, lr: 0.01, hidden dim: 16, depth: 7, params: 664938, dropout: 0, loss: 0.6197079608712015, error %: 0.2174, time: 1519.9858138561249, epochs: 50
batch size: 128, lr: 0.01, hidden dim: 16, depth: 9, params: 859818, dropout: 0, loss: 0.6195890767664849, error %: 0.2099, time: 1643.0639884471893, epochs: 50
batch size: 128, lr: 0.025, hidden dim: 16, depth: 3, params: 275178, dropout: 0, loss: 0.7569498404671874, error %: 0.2582, time: 1191.3273921012878, epochs: 50
batch size: 128, lr: 0.03, hidden dim: 16, depth: 2, params: 177738, dropout: 0, loss: 0.8159134387969971, error %: 0.2902, time: 1188.1029386520386, epochs: 50
batch size: 128, lr: 0.03, hidden dim: 16, depth: 5, params: 470058, dropout: 0, loss: 0.7478663106507892, error %: 0.2567, time: 1366.0728871822357, epochs: 50
batch size: 128, lr: 0.03, hidden dim: 16, depth: 7, params: 664938, dropout: 0, loss: 0.7623008565057682, error %: 0.2668, time: 1490.9645037651062, epochs: 50
batch size: 128, lr: 0.03, hidden dim: 16, depth: 9, params: 859818, dropout: 0, loss: 0.7738242986836011, error %: 0.2611, time: 1599.2436728477478, epochs: 50
batch size: 128, lr: 0.05, hidden dim: 16, depth: 2, params: 177738, dropout: 0, loss: 0.9115217207353327, error %: 0.3218, time: 1195.025705575943, epochs: 50
batch size: 128, lr: 0.05, hidden dim: 16, depth: 3, params: 275178, dropout: 0, loss: 0.9609068767933906, error %: 0.3322, time: 1210.5900650024414, epochs: 50
batch size: 128, lr: 0.05, hidden dim: 16, depth: 5, params: 470058, dropout: 0, loss: 0.9704412169094327, error %: 0.3415, time: 1413.3773472309113, epochs: 50
batch size: 128, lr: 0.05, hidden dim: 16, depth: 7, params: 664938, dropout: 0, loss: 0.9191445519652548, error %: 0.3261, time: 1545.8015038967133, epochs: 50
batch size: 128, lr: 0.05, hidden dim: 16, depth: 9, params: 859818, dropout: 0, loss: 0.8807739238195782, error %: 0.2987, time: 1665.011774778366, epochs: 50
batch size: 128, lr: 0.1, hidden dim: 16, depth: 2, params: 177738, dropout: 0, loss: 1.3209899226321449, error %: 0.4906, time: 1211.163625717163, epochs: 50
batch size: 128, lr: 0.1, hidden dim: 16, depth: 3, params: 275178, dropout: 0, loss: 1.2804653795459602, error %: 0.4686, time: 1233.9458549022675, epochs: 50
batch size: 128, lr: 0.1, hidden dim: 16, depth: 5, params: 470058, dropout: 0, loss: 1.1793174004252953, error %: 0.4315, time: 1404.586597442627, epochs: 50
batch size: 128, lr: 0.1, hidden dim: 16, depth: 7, params: 664938, dropout: 0, loss: 1.2664751267131371, error %: 0.4638, time: 1536.3971321582794, epochs: 50
batch size: 128, lr: 0.1, hidden dim: 16, depth: 9, params: 859818, dropout: 0, loss: 1.177851339684257, error %: 0.4215, time: 1654.3048486709595, epochs: 50
