"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","depth","dropout","epochs","folder","hidden_dim","lr","name","seed","wd","loss","test/error_rate","test/loss","train/loss"
"royal-silence-14","finished","-","ashah01","","2023-07-05T00:27:57.000Z","4968","","128","9","0","50","wd_sweep","16","0.01","ResNet","1","0.0005","","0.2056","0.4396059513092041","0.39167362451553345"
"vocal-puddle-12","finished","-","ashah01","","2023-07-04T22:53:15.000Z","1852","","128","9","0","50","wd_sweep","16","0.01","ResNet","0","0.0005","","0.2102","0.6565678715705872","0.4234597086906433"
"fanciful-water-11","finished","-","ashah01","","2023-07-04T22:25:22.000Z","1670","","128","7","0","50","wd_sweep","16","0.01","ResNet","1","0.0005","","0.2165","0.4271287620067597","0.4661838114261627"
"hearty-wood-10","finished","-","ashah01","","2023-07-04T21:57:55.000Z","1644","","128","7","0","50","wd_sweep","16","0.01","ResNet","0","0.0005","","0.2095","0.9765959978103638","0.4275679588317871"
"dashing-cherry-9","finished","-","ashah01","","2023-07-04T21:32:49.000Z","1503","","128","5","0","50","wd_sweep","16","0.01","ResNet","1","0.0005","","0.2185","0.568479061126709","0.4278534948825836"
"drawn-yogurt-8","finished","-","ashah01","","2023-07-04T21:07:44.000Z","1502","","128","5","0","50","wd_sweep","16","0.01","ResNet","0","0.0005","","0.2137","0.7024425864219666","0.3206758499145508"
"floral-valley-7","finished","-","ashah01","","2023-07-04T20:44:44.000Z","1378","","128","3","0","50","wd_sweep","16","0.01","ResNet","1","0.0005","","0.2198","0.448355495929718","0.704069972038269"
"sparkling-voice-6","finished","-","ashah01","","2023-07-04T20:21:53.000Z","1369","","128","3","0","50","wd_sweep","16","0.01","ResNet","0","0.0005","","0.2267","0.6698802709579468","0.527510404586792"
"summer-river-5","finished","-","ashah01","","2023-07-04T19:59:52.000Z","1319","","128","2","0","50","wd_sweep","16","0.01","ResNet","1","0.0005","","0.2264","0.817918598651886","0.5703148245811462"
"easy-deluge-4","finished","-","ashah01","","2023-07-04T19:37:38.000Z","1332","","128","2","0","50","wd_sweep","16","0.01","ResNet","0","0.0005","","0.2303","0.4691571593284607","0.4276033937931061"
